Bin,Density,Frequency,Min,Max,Fit,sub Dist,Density^2,Fit^2,Normed Fit,Normed Fit^2,Variables,NORM =/=1,Assumed Norm =1,Percent Diff,,,,,Remove Outliers,Bin,Density,Frequency,Min,Max,Fit,sum Dist,Variables,NORM =/=1,Assumed Norm =1,Percent Diff same data,Percent Diff Norm=/=1,Percent Diff Norm=1
-24.18457097,0,0,-24.20010864,-24.1690333,0.000761437,5.80E-07,0,5.80E-07,0.000676513,4.58E-07,,,,,,,,,,-14.55121574,0.01290291,1,-14.56675341,-14.53567807,0.002070304,0.000117345,,,,,,
-24.15349563,0,0,-24.1690333,-24.13795796,0.000763374,5.83E-07,0,5.83E-07,0.000678234,4.60E-07,,,,,,,,,,-14.5201404,0,0,-14.53567807,-14.50460273,0.002078969,4.32E-06,,,,,,
-24.12242029,0,0,-24.13795796,-24.10688262,0.000765318,5.86E-07,0,5.86E-07,0.000679963,4.62E-07,,,,,,,,,,-14.48906506,0,0,-14.50460273,-14.47352739,0.002087689,4.36E-06,,,,,,
-24.09134495,0,0,-24.10688262,-24.07580728,0.00076727,5.89E-07,0,5.89E-07,0.000681698,4.65E-07,,,,,,,,,,-14.45798972,0,0,-14.47352739,-14.44245205,0.002096464,4.40E-06,,,,,,
-24.06026961,0,0,-24.07580728,-24.04473194,0.000769229,5.92E-07,0,5.92E-07,0.000683439,4.67E-07,,,,,,,,,,-14.42691438,0,0,-14.44245205,-14.41137671,0.002105294,4.43E-06,,,,,,
-24.02919428,0,0,-24.04473194,-24.01365661,0.000771195,5.95E-07,0,5.95E-07,0.000685187,4.69E-07,,,,,,,,,,-14.39583904,0,0,-14.41137671,-14.38030137,0.00211418,4.47E-06,,,,,,
-23.99811894,0,0,-24.01365661,-23.98258127,0.00077317,5.98E-07,0,5.98E-07,0.000686942,4.72E-07,,,,,,,,,,-14.3647637,0,0,-14.38030137,-14.34922603,0.002123122,4.51E-06,,,,,,
-23.9670436,0,0,-23.98258127,-23.95150593,0.000775152,6.01E-07,0,6.01E-07,0.000688704,4.74E-07,,,,,,,,,,-14.33368837,0,0,-14.34922603,-14.3181507,0.002132121,4.55E-06,,,,,,
-23.93596826,0,0,-23.95150593,-23.92043059,0.000777141,6.04E-07,0,6.04E-07,0.000690472,4.77E-07,,,,,,,,,,-14.30261303,0,0,-14.3181507,-14.28707536,0.002141177,4.58E-06,,,,,,
-23.90489292,0,0,-23.92043059,-23.88935525,0.000779138,6.07E-07,0,6.07E-07,0.000692248,4.79E-07,,,,,,,,,,-14.27153769,0,0,-14.28707536,-14.25600002,0.002150291,4.62E-06,,,,,,
